Nombre;Descripción;Tipo;Nivel de precio;Dirección;Comuna;Rating (1-5);Ranking en Santiago;Tipo de cocina;Consumo;Termómetro Vegano
Rali Restaurant;Rali es un restaurant ubicado en el corazón de Santiago, con hermosa decoración de artículos mapuches, en el podrás encontrar exquisitos platos de comida casera con menus diarios, hasta platos mas elaborados, tambien ofrece momentos dulces en sus desayunos y onces, ademas variedad en exquisitas empanadas y Churrascos. Rali abre sus puertas de Lunes a Viernes de 09:00 hasta las 20:00 hrs.;Restaurante;Económico;Calle Merced 830, Santiago 8320175 Chile;Santiago;No tiene;No está en el ranking; Chilena y Sudamericana;Servicio de mesa;Opciones veganas
El Café de Martina;No tiene;Cafetería;Económico;Orrego Luco 0130 Ubicado entre Av. Andrés Bello y Av. Providencia, Santiago 7510115 Chile;Providencia;5;#2.090 de 3.950 restaurantes en Santiago;Pizzería, Café, Comida callejera;Servicio de mesa;Opciones veganas
Gorky Paellas;La mejor Paella de Santiago. Pruebala en el local los dias Viernes al almuerzo o encargala cualquier dia para llevar o a domicilio.Ademas nuestra carta consta de una variedad de platos calientes como lasanas, carne mechada, quiche, ricas ensaladas y platos vegetarianos.De lunes a viernes tenemos un menu del dia a la hora de almuerzo, este incluye entrada, fondo, postre mas un jugo o un cafe espreso.Ademas tenemos exquisita pasteleria propia que puedes acompanar de nuestros excelentes te de hoja y cafe en grano.;Restaurante;Gama media;Pl. Egaña, 7790758 Ñuñoa, Región Metropolitana;Ñuñoa;4,7;#542 de 3.950 restaurantes en Santiago;Española;Comida para llevar y entrega a domicilio;Opciones veganas
Marliz;Café Marliz, inaugurado en el año 2010 en la comuna de Las Condes, en la Avenida Cristóbal Colón con Piacenza, alcanzando a lo largo de los años su reputación como una de las más exitosas cafeterías del sector y caracterizado desde el principio por su alta calidad. En la actualidad, Café Marliz, cuenta con unas 15 personas que trabajan diariamente para deleitar y servir a todos nuestros clientes con la más alta calidad y excelencia en sus productos. Somos un exquisito lugar de encuentro familiar y de amistad, ofreciendo excelencia en el servicio y desarrollando una fina y artesanal gama de productos de pastelería, helados y acompañados de una variedad de exquisitos tipos de café y todo ello en un ambiente de relajación y entretenimiento.;Cafetería;Gama media;Avenida Cristobal Colon, 6809, Santiago 8320000 Chile;Las Condes ;3,8;N.º 133 de 338 lugares de café y té en Santiago;Café y Postres;Servicio de mesa;Opciones veganas
Restaurante Neighbor;"Nuevo restaurant de barrio que ofrece pollos de libre pastoreo marinados y asados al carbón. Al igual que las costillas BBQ; sin hormonas y sin marinar. original carta de la verdadera pizza estilo napolitana. Gran variedad de papas fritas y acompañamientos. Pescado fresco. Helados artesanales. restaurant que recibe mascotas y sustentable.";Restaurante;Gama media;Avenida Vitacura 5456, Santiago 7630629 Chile;Vitacura;4,3;#1.840 de 3.950 restaurantes en Santiago;Pizzería;Servicio de mesa;Opciones veganas
Green Vitality;No tiene;Restaurante;Económico;Teatinos 432, 8340349 Santiago, Región Metropolitana;Santiago;4;#1.226 de 3.950 restaurantes en Santiago;Española y Latina;Buffet;Apto para vegetarianos y  opciones veganas
Manouche Pizza Club;No tiene;Restaurante;Económico;Bombero Nunez #231, Santiago 8420432 Chile;Recoleta;3,3;#2.499 de 3.950 restaurantes en Santiago;Pizzería;Servicio de mesa;Opciones veganas
Falafel Asly;No tiene;Restaurante;Económico;Avenida Las Condes 8400, Santiago 7560300 Chile;Las Condes ;4,3;#673 de 3.950 restaurantes en Santiago;Latina y Comida rápida;Entrega a domicilio;Apto para vegetarianos y  opciones veganas 
Café Isla Verde;No tiene;Restaurante;Gama media;Dr. Johow 889-a, Ñuñoa, Región Metropolitana;Ñuñoa;4;#1.210 de 3.950 restaurantes en Santiago;Italiana y Latina;Comida para llevar y servicio de mesa;Opciones veganas
Verde Que Te Quiero Verde;"El Verde Que Te Quiero Verde es un moderno restaurant ubicado en el corazón del barrio Yungay (Santiago centro). 
Nuestra propuesta de inspiración vegetariana busca entregar a los comensales platos hechos con ingredientes seleccionados de la temporada, naturales y donde siempre buscamos excluir productos industriales. En El Verde, apostamos por una comida sana, pero no aburrida, preparada y montada con originalidad. Buscamos entregar sabores nuevos que sorprendan al llegar a la mesa. 
El Verde es atendidos por sus dueños, Claudia y Julien quienes llevan varios años en cocina.";Restaurante;Gama media;Huerfanos 3020, Santiago, Santiago 8350526 Chile;Santiago;4,2;#651 de 3.950 restaurantes en Santiago;Francesa;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
